GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Last Commit Date,Branch Count,Contributor Count,domain,age_days,CI_Status
vanvalenlab/deepcell-tf,Y,465,421,14131,Organised but not in modules,"1 has significantly more commits than others, but 12 contributers",Travis used,Documentation provided,"Recent, Commit activity not negligible",29 open << 120 closed,License provided,X Doesn't seem to have unit test,2024-08-30,19,21,ML Frameworks / Libraries,2758,Yes
VertaAI/modeldb,Y,1740,4114,111928,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/VertaAI/modeldb/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/VertaAI/modeldb/issues/564 and https://github.com/VertaAI/modeldb/issues/259 but a lot issues left open",https://github.com/VertaAI/modeldb/blob/master/DEPLOY.md is provided.,There are many files related to testing,2024-04-25,689,49,MLOps / Deployment,3333,Yes
vespa-engine/sample-apps,Y,380,5644,11979,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,around 14 have significant contributions,Travis used,Documentation provided,"Recent, Commit activity not negligible",no issues,License provided,X Doesn't seem to have unit test,2025-09-24,40,63,MLOps / Deployment,3031,Yes
vwxyzjn/cleanrl,N,7945,841,12634,X The source code of the project exists as ad-hoc scripts.,"1 has significantly more commits than others, 2 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",3 open < 7 closed,License provided,A number,2025-07-08,126,42,Reinforcement Learning,2371,Yes
wandb/client,Y,10367,8446,217482,The source code of this project has been organised into different modules,about 11 active contributors,CircleCI used,Documentation provided,"Recent, Commit activity not negligible",207 open < 354 closed,License provided,There are many files related to testing. https://github.com/tensorflow/io/tree/master/tests,2025-09-27,1629,200,Reinforcement Learning,3176,Yes
wandb/examples,N,1181,1003,7128,X The source code of the project exists as ad-hoc scripts in folders,Yes,X CI is not used on the project.,X not much,Commits are quite spread out,3 open > 1 closed,"X There is no license to be found, either in the form of a license file or written inside the source code file.",X 1,2025-09-23,290,68,Data Science / Traditional ML,2865,Yes
wikipedia2vec/wikipedia2vec,Y,956,333,4481,X The source code of the project exists as ad-hoc scripts in folders,"1 has significantly more commits than others, 30 contributers",CircleCI used,X not much,Commits are quite spread out,all closed,License provided,A few,2024-01-11,4,5,Natural Language Processing,3691,Yes
x4nth055/pythoncode-tutorials,N,2913,641,41945,The source code of this project has been organised into different modules in a way that shows the relationship between different files. https://github.com/tensorflow/privacy/tree/master/tensorflow_privacy/privacy,X There are no contributors to the project other than the author.,X CI is not used on the project.,Tutorials provided,"Recent, Commit activity not negligible",5 open < 7 closed,License provided,X Doesn't seem to have unit test,2025-09-28,15,14,Natural Language Processing,2319,No
XanaduAI/pennylane,Y,2824,6011,350353,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/XanaduAI/pennylane/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/pennylane/issues/661 and https://github.com/XanaduAI/pennylane/issues/533",https://github.com/XanaduAI/pennylane/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-26,407,200,ML Frameworks / Libraries,2787,Yes
XanaduAI/strawberryfields,Y,817,1172,31745,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/XanaduAI/strawberryfields/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/XanaduAI/strawberryfields/issues/304 and https://github.com/XanaduAI/strawberryfields/issues/369",https://github.com/XanaduAI/pennylane/blob/master/LICENSE is provided.,There are many files related to testing,2025-05-20,46,42,ML Frameworks / Libraries,2809,Yes
Xilinx/brevitas,Y,1388,1609,58300,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Xilinx/brevitas/graphs/contributors shows that there are multiple contributors,The project uses pytest,There is a well-maintained documentation,Evidence of sustained commit activity until recently,"The project maintainers respond to issues, as evidenced by https://github.com/Xilinx/brevitas/issues/163 and https://github.com/Xilinx/brevitas/issues/126 but a lot issues left open too",https://github.com/Xilinx/brevitas/blob/master/LICENSE is provided,There are many files related to testing,2025-08-28,22,26,ML Frameworks / Libraries,2703,Yes
YosefLab/scVI,Y,1460,4329,52441,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/YosefLab/scVI/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers (mainly 1 person) respond to issues, as evidenced by https://github.com/YosefLab/scVI/issues/560 and https://github.com/YosefLab/scVI/issues/690",https://github.com/YosefLab/scVI/blob/master/LICENSE is provided.,There are many files related to testing,2025-09-25,86,74,Domain-Specific Applications,3010,Yes
yzhao062/pyod,Y,9471,1895,16576,Organised but not in modules and few files,"1 has significantly more commits than others, 14 contributers",CircleCI used,Have a docs folder,"Recent, Commit activity not negligible",57 open < 66 closed,License provided,Quite a number,2025-04-29,2,53,Data Science / Traditional ML,2983,Yes
zalandoresearch/pytorch-ts,Y,1333,438,9932,Organised but not in modules,"1 main contributer, the other 3 has 1+ commit",X CI is not used on the project.,X not much,Commits are quite spread out,2 open < 9 closed,License provided,A number,2024-06-14,13,11,ML Frameworks / Libraries,2088,Yes
